S0032130000;ДАМБЫ;NoneStylePoly
L0032140000;НАБЕРЕЖНЫЕ ДЕРЕВЯННЫЕ;NoneStyleLine
L0032150000;БЕРЕГА С УКРЕПЛЕННЫМИ ОТКОСАМИ;Берега с укреплёнными откосами(1)_100к
L0032160000;ВОЛНОЛОМЫ И БУНЫ;NoneStyleLine
V0032160000;ВОЛНОЛОМЫ И БУНЫ ;NoneStyleLine
L0032230000;МОЛЫ И ПРИЧАЛЫ;NoneStyleLine
S0032230000;МОЛЫ И ПРИЧАЛЫ;NoneStylePoly
V0032230000;МОЛЫ И ПРИЧАЛЫ ;NoneStyleLine
S0032240000;ПРИСТАНИ С ОБОРУДОВ.ПРИЧ.(к-с);NoneStylePoly
S00322400001;ПРИСТАНИ С ОБОРУДОВ.ПРИЧАЛАМИ;NoneStylePoly
V0032240000;ПРИСТАНИ С ОБОРУДОВ.ПРИЧАЛАМИ;NoneStyleLine
L0032330000;АКВЕДУКИ ;NoneStyleLine
S0032330000;АКВЕДУКИ;NoneStylePoly
V0032330000;АКВЕДУКИ ;NoneStyleLine
L0032331000;СТОРОНА АКВЕДУКА;NoneStyleLine
V0032340000;ВОДОРАСПРЕД.УСТР.(в 2 стороны);NoneStyleLine
V00323400001;ВОДОРАСПРЕД.УСТРОЙСТВА (влево);NoneStyleLine
V00323400002;ВОДОРАСПРЕД.УСТРОЙСТВА(вправо);NoneStyleLine
P0032431000;СТВОРНЫЕ ЗНАКИ ;NoneStyleMark
P0032460000;ВОДОМЕРНЫЕ ПОСТЫ;Водомерные посты_100к
P0032461000;ФУТШТОКИ;NoneStyleMark
L0033111000;ПАРОМЫ ЖЕЛЕЗНОДОРОЖНЫЕ;NoneStyleLine
L0033112000;ПАРОМЫ АВТОМОБИЛЬНЫЕ ;NoneStyleLine
L0033113000;ПАРОМЫ АВТОГУЖЕВЫЕ  ;NoneStyleLine
V0033113000;ПАРОМЫ АВТОГУЖЕВЫЕ  ;NoneStyleLine
L0033120000;ПЕРЕВОЗЫ ;NoneStyleLine
V0033120000;ПЕРЕВОЗЫ  ;NoneStyleLine
L0033130000;БРОДЫ;NoneStyleLine
P0033130000;БРОДЫ;NoneStyleMark
L0061111000;ЖЕЛЕЗНЫЕ ДОРОГИ.ШИРОКОКОЛЕЙНЫЕ;ЖД ширококолейные_25к-100к
L0061112000;ЖЕЛЕЗНЫЕ ДОРОГИ УЗКОКОЛЕЙНЫЕ;ЖД узкоколейные_25к-100к
L0061113000;ЖЕЛЕЗНЫЕ ДОРОГИ МОНОРЕЛЬСОВЫЕ ;ЖД монорельсовые_25к-100к
L0061114000;ПОЛОТНО РАЗОБРАННЫХ ЖЕЛ.ДОРОГ;NoneStyleLine
L0061121000;СТАНЦИОННЫЕ ПУТИ;NoneStyleLine
L0061123000;ЛИНИИ МЕТРОПОЛИТЕНА (1-выход);NoneStyleLine
L00611230001;ЛИНИИ МЕТРОПОЛИТЕНА (2 выхода);NoneStyleLine
L00611230002;ЛИНИИ МЕТРО (выходы не показ.);NoneStyleLine
L0061124000;ТРАМВАЙНЫЕ ЛИНИИ;NoneStyleLine
L0061210000;АВТОМАГИСТРАЛИ (АВТОСТРАДЫ);Автомагистрали_50к-100к
L0061220000;УСОВЕРШЕНСТВОВАННЫЕ ШОССЕ;Шоссе усовершенствованные_50к-100к
L0061230000;ШОССЕ ;Шоссе_50к-100к
L0061310000;УЛУЧШЕННЫЕ ГРУНТОВЫЕ ДОРОГИ;Дороги грунтовые улучшенные_50к-100к
L0061320000;ГРУНТОВЫЕ ПРОСЕЛОЧНЫЕ ДОРОГИ  ;Дороги грунтовые_50к-100к
L0061330000;ПОЛЕВЫЕ И ЛЕСНЫЕ ДОРОГИ;Дороги полевые и лесные_50к-100к
L0061410000;КАРАВАН.ПУТИ И ВЬЮЧНЫЕ ТРОПЫ;Караванные тропы_50к-100к
L0061420000;ПЕШЕХОДНЫЕ ТРОПЫ ;NoneStyleLine
L00614200001;ДОРОЖКИ И АЛЛЕИ В ПАРКАХ;NoneStyleLine
L0061500000;АВТОДОРОГИ С ДЕРЕВЯН.ПОКРЫТИЕМ;Дороги деревянные_50к-100к
L0061600000;ЗИМНИЕ ДОРОГИ(зимники,автозим);NoneStyleLine
L0061610000;ЗИМНИЕ ДОРОГИ (неотображаемые);NoneStyleLine
L0061611000;ГРУППЫ ШТРИХОВ ЗИМНИХ ДОРОГ;NoneStyleLine
L0061700000;ФУНИКУЛЕРЫ;NoneStyleLine
L0061810000;ПОДВЕСНЫЕ ДОРОГИ;NoneStyleLine
V0061950000;ОВРИНГИ ;NoneStyleLine
S0061970000;ТРАНСПОРТ.РАЗВЯЗКИ НА АВТОДОР.;NoneStylePoly
V0061970000;ТРАНСПОРТ.РАЗВЯЗКИ НА АВТОДОР.;NoneStyleLine
